Gene,start,end,length
N_metF~~~metF_1~~~metF_2,1,6337,3168
G_metF~~~metF_1~~~metF_2,6337,8113,888
N_mutT~~~mutT_2~~~mutT_1~~~rppH_1,8113,8235,61
G_mutT~~~mutT_2~~~mutT_1~~~rppH_1,8235,9027,396
N_group_35306,9027,9085,29
G_group_35306,9085,9481,198
N_yffB,9481,10563,541
G_yffB,10563,11271,354
N_yjbR,11271,11279,4
G_yjbR,11279,11987,354
N_group_35303,11987,12919,466
G_group_35303,12919,13729,405
N_recC~~~recC_1~~~recC_3~~~recC_2~~~recC_4,13729,13815,43
G_recC~~~recC_1~~~recC_3~~~recC_2~~~recC_4,13815,20547,3366
N_yciI,20547,30257,4855
G_yciI,30257,31037,390
N_leuC_3~~~leuC_2~~~leuC_1,31037,31043,3
G_leuC_3~~~leuC_2~~~leuC_1,31043,33839,1398
G_narL_2~~~narL_1~~~narL_3~~~cheB_1,33839,37463,1812
N_lolA~~~lolA_2~~~lolA_1,37463,37783,160
G_lolA~~~lolA_2~~~lolA_1,37783,39001,609
N_group_35163,39001,39149,74
G_group_35163,39149,40415,633
N_zraP~~~zraP_2~~~zraP_1,40415,46331,2958
G_zraP~~~zraP_2~~~zraP_1,46331,47291,480
N_yheH~~~msbA_2~~~msbA_1,47291,47293,1
G_yheH~~~msbA_2~~~msbA_1,47293,50731,1719
N_gppA~~~gppA_2~~~gppA_1,50731,51005,137
G_gppA~~~gppA_2~~~gppA_1,51005,53969,1482
N_ppiC~~~prsA,53969,58325,2178
G_ppiC~~~prsA,58325,58883,279
N_hldE_1~~~hldE~~~hldE_2,58883,58981,49
G_hldE_1~~~hldE~~~hldE_2,58981,61843,1431
N_apt,61843,62151,154
G_apt,62151,63249,549
N_djlA_2~~~djlA~~~djlA_1,63249,80145,8448
G_djlA_2~~~djlA~~~djlA_1,80145,81903,879
N_entH~~~entH_2~~~entH_1,81903,81909,3
G_entH~~~entH_2~~~entH_1,81909,82731,411
N_cysK_1~~~cysK_2~~~cysK,82731,83103,186
G_cysK_1~~~cysK_2~~~cysK,83103,85041,969
N_hupA,85041,85417,188
G_hupA,85417,85957,270
N_trmA_2~~~trmA~~~trmA_1,85957,108159,11101
G_trmA_2~~~trmA~~~trmA_1,108159,110373,1107
N_hslO~~~hslO_2~~~hslO_1,110373,110425,26
G_hslO~~~hslO_2~~~hslO_1,110425,112177,876
G_yrfG_1~~~yrfG~~~yrfG_2,112177,116599,2211
N_group_35035,116599,117079,240
G_group_35035,117079,118453,687
N_group_35031,118453,123363,2455
G_group_35031,123363,124365,501
N_hyfA_4~~~cooF~~~hyfA_1,124365,124665,150
G_hyfA_4~~~cooF~~~hyfA_1,124665,125715,525
N_tmcA~~~tmcA_2~~~tmcA_1~~~tmcA_3,125715,125745,15
G_tmcA~~~tmcA_2~~~tmcA_1~~~tmcA_3,125745,129813,2034
N_mtnN~~~mtnN_2~~~mtnN_1,129813,139225,4706
G_mtnN~~~mtnN_2~~~mtnN_1,139225,140617,696
N_rne~~~rne_1~~~rne_2,140617,143907,1645
G_rne~~~rne_1~~~rne_2,143907,150273,3183
N_ylaC~~~ylaC_2~~~ylaC_1,150273,150509,118
G_ylaC~~~ylaC_2~~~ylaC_1,150509,151445,468
N_sapF~~~sapF_1~~~sapF_2~~~sapF_3,151445,151551,53
G_sapF~~~sapF_1~~~sapF_2~~~sapF_3,151551,153159,804
G_group_34972,153159,154515,678
N_talB_1~~~talB_2~~~talB,154515,161269,3377
G_talB_1~~~talB_2~~~talB,161269,163171,951
N_exoX~~~exoX_2~~~exoX_1,163171,163221,25
G_exoX~~~exoX_2~~~exoX_1,163221,164541,660
N_yhhQ_1~~~yhhQ~~~yhhQ_2,164541,166689,1074
G_yhhQ_1~~~yhhQ~~~yhhQ_2,166689,168015,663
N_group_34950,168015,168479,232
G_group_34950,168479,169589,555
N_gsiB~~~sgrR_3~~~gsiB_3~~~gsiB_2~~~gsiB_1,169589,169639,25
G_gsiB~~~sgrR_3~~~gsiB_3~~~gsiB_2~~~gsiB_1,169639,172711,1536
N_group_34934,172711,173167,228
G_group_34934,173167,174241,537
N_yfeY~~~yfeY_1~~~yfeY_2,174241,174893,326
G_yfeY~~~yfeY_1~~~yfeY_2,174893,176039,573
N_lapA,176039,176339,150
G_lapA,176339,176951,306
N_flgH,176951,177059,54
G_flgH,177059,178505,723
N_flgF~~~flgF_2~~~flgF_1,178505,178547,21
G_flgF~~~flgF_2~~~flgF_1,178547,180053,753
N_ruvB_2~~~ruvB_1~~~ruvB,180053,180333,140
G_ruvB_2~~~ruvB_1~~~ruvB,180333,182349,1008
N_znuC~~~znuC_2~~~znuC_1,182349,189541,3596
G_znuC~~~znuC_2~~~znuC_1,189541,191047,753
N_group_34895,191047,195829,2391
G_group_34895,195829,197413,792
N_ybaK~~~ybaK_1~~~ybaK_2,197413,197823,205
G_ybaK~~~ybaK_1~~~ybaK_2,197823,198777,477
G_csdE,198777,199659,441
N_poxB~~~poxB_3~~~poxB_1~~~poxB_2,199659,199927,134
G_poxB~~~poxB_3~~~poxB_1~~~poxB_2,199927,203359,1716
N_ptsO,203359,203453,47
G_ptsO,203453,203993,270
N_gcd_2~~~gcd_1~~~gcd,203993,224069,10038
G_gcd_2~~~gcd_1~~~gcd,224069,228845,2388
N_cueO_2~~~cueO_3~~~cueO~~~cueO_1,228845,233533,2344
G_cueO_2~~~cueO_3~~~cueO~~~cueO_1,233533,236629,1548
N_group_34881,236629,236637,4
G_group_34881,236637,237177,270
N_dtd,237177,238477,650
G_dtd,238477,239347,435
N_dsbC~~~dsbC_2~~~dsbC_1,239347,239399,26
G_dsbC~~~dsbC_2~~~dsbC_1,239399,240815,708
N_yajL,240815,242533,859
G_yajL,242533,243709,588
N_degS_2~~~degS_1~~~degS,243709,243945,118
G_degS_2~~~degS_1~~~degS,243945,246075,1065
G_rseC~~~rseC_1~~~rseC_2,246075,247029,477
N_fruK_2~~~fruK~~~fruK_1~~~rbsA_3~~~btuD_4~~~fruK_3~~~fruK_4,247029,247859,415
G_fruK_2~~~fruK~~~fruK_1~~~rbsA_3~~~btuD_4~~~fruK_3~~~fruK_4,247859,251009,1575
N_panF,251009,251245,118
G_panF,251245,254143,1449
N_mobA~~~mobA_2~~~mobA_1,254143,261487,3672
G_mobA~~~mobA_2~~~mobA_1,261487,262861,687
N_sbp~~~sbp_2~~~sbp_1,262861,263553,346
G_sbp~~~sbp_2~~~sbp_1,263553,265527,987
N_group_34843,265527,275707,5090
G_group_34843,275707,276499,396
N_citC_1~~~citC~~~citC_2,276499,281967,2734
G_citC_1~~~citC~~~citC_2,281967,284079,1056
N_ggt~~~ggt_2~~~ggt_1,284079,285603,762
G_ggt~~~ggt_2~~~ggt_1,285603,289089,1743
N_ydfK_1~~~ydfK,289089,294259,2585
